Name,X,Y
Afraid,-0.12,0.796
Ambitious,0.43,0.656
Angry,-0.415,0.777
Annoyed,-0.44,0.657
Ashamed,-0.45,-0.5
Astonished,0.43,0.89
Attentive,0.48,-0.467
Bored,-0.35,-0.788
Confident,0.51,-0.2
Convinced,0.42,0.43
Dejected,-0.51,-0.862
Delighted,0.88,0.36
Depressed,-0.816,-0.48
Disappointed,-0.8,-0.028
Distressed,-0.71,0.55
Distrustful,-0.48,0.093
Droopy,-0.34,-0.943
Embarrassed,-0.31,-0.6
Enthusianstic,0.498,0.325
Excited,0.7,0.71
Expectant,0.32,0.067
Friendly,0.754,-0.6
Frustrated,-0.59,0.391
Glad,0.95,-0.164
Happy,0.89,0.167
Hopeful,0.616,-0.3
Impatient,-0.035,0.312
Impressed,0.385,-0.068
Insulted,-0.73,0.19
Jealous,-0.082,0.56
Light Hearted,0.42,0.29
Longing,0.23,-0.436
Melancholic,-0.043,-0.663
Miserable,-0.92,-0.142
Passionate,0.333,0.127
Peace,0.55,-0.796
Pensive,0.03,-0.59
Relaxed,0.71,-0.65
Sad,-0.83,-0.399
Serene,0.836,-0.498
Serious,0.23,-0.664
Sleepy,0.034,-0.968
Startled,-0.92,0.023
Suspicious,-0.33,0.266
Tensed,-0.028,0.856
Tired,-0.03,-0.97
Worried,-0.078,-0.327
